time,open,high,low,close,volume
2026-04-15 11:15:00,4802.4,4804.52,4799.83,4804.24,1255
2026-04-15 11:20:00,4804.28,4806.71,4803.55,4806.38,1280
2026-04-15 11:25:00,4806.3,4807.11,4804.85,4804.99,954
2026-04-15 11:30:00,4805.01,4808.66,4802.78,4803.08,1413
2026-04-15 11:35:00,4803.08,4806.48,4802.94,4804.13,1038
2026-04-15 11:40:00,4804.09,4806.19,4802.82,4805.95,830
2026-04-15 11:45:00,4805.95,4812.11,4804.34,4809.25,1778
2026-04-15 11:50:00,4809.26,4814.31,4809.01,4814.12,1641
2026-04-15 11:55:00,4814.16,4815.01,4810.53,4812.68,1552
2026-04-15 12:00:00,4812.66,4814.3,4808.03,4809.55,1681
2026-04-15 12:05:00,4809.53,4813.24,4807.06,4813.02,1422
2026-04-15 12:10:00,4813.06,4814.11,4810.9,4814.02,1424
2026-04-15 12:15:00,4813.98,4816.22,4812.69,4814.11,1202
2026-04-15 12:20:00,4814.11,4814.22,4810.22,4813.16,1586
2026-04-15 12:25:00,4813.21,4815.09,4810.68,4812.79,1157
2026-04-15 12:30:00,4812.68,4816.14,4811.42,4813.35,1238
2026-04-15 12:35:00,4813.46,4814.57,4810.69,4813.23,1055
2026-04-15 12:40:00,4813.23,4814.44,4810.45,4811.74,1050
2026-04-15 12:45:00,4811.74,4812.44,4808.42,4810.99,1144
2026-04-15 12:50:00,4810.99,4813.88,4810.1,4812.69,1147
2026-04-15 12:55:00,4812.69,4815.52,4811.23,4811.69,1478
2026-04-15 13:00:00,4811.66,4816.35,4808.6,4811.97,2272
2026-04-15 13:05:00,4811.98,4816.09,4809.93,4814.1,2038
2026-04-15 13:10:00,4814.11,4815.21,4811.22,4814.09,1757
2026-04-15 13:15:00,4814.09,4814.78,4810.19,4813.59,1574
2026-04-15 13:20:00,4813.59,4819.63,4812.85,4816.89,1912
2026-04-15 13:25:00,4816.93,4822.05,4816.93,4821.83,1591
2026-04-15 13:30:00,4821.78,4822.14,4816.43,4818.96,2406
2026-04-15 13:35:00,4818.97,4825.41,4815.92,4823.69,2440
2026-04-15 13:40:00,4823.75,4825.06,4817.87,4820.52,2178
2026-04-15 13:45:00,4820.52,4825.77,4820.07,4825.34,2150
2026-04-15 13:50:00,4825.38,4827.47,4821.93,4825.62,2102
2026-04-15 13:55:00,4825.68,4830.15,4824.3,4828.9,1972
2026-04-15 14:00:00,4828.88,4829.84,4820.62,4826.11,2060
2026-04-15 14:05:00,4826.09,4827.61,4824.19,4824.75,1816
2026-04-15 14:10:00,4824.75,4829.01,4824.27,4828.66,1768
2026-04-15 14:15:00,4828.67,4830.45,4824.64,4824.65,1881
2026-04-15 14:20:00,4824.64,4827.45,4823.13,4825.91,2006
2026-04-15 14:25:00,4825.9,4827.27,4822.36,4825.24,1979
2026-04-15 14:30:00,4825.26,4825.67,4817.47,4819.02,2079
2026-04-15 14:35:00,4819.03,4822.09,4815.58,4816.29,2029
2026-04-15 14:40:00,4816.29,4821.41,4816.29,4819.31,1929
2026-04-15 14:45:00,4819.37,4819.51,4815.45,4816.26,1969
2026-04-15 14:50:00,4816.37,4818.84,4813.39,4814.75,2053
2026-04-15 14:55:00,4814.76,4818.45,4814.49,4815.52,1730
2026-04-15 15:00:00,4815.53,4816.16,4809.7,4810.21,2059
2026-04-15 15:05:00,4810.22,4810.79,4800.26,4807.12,2114
2026-04-15 15:10:00,4807.12,4812.23,4804.73,4810.2,2060
2026-04-15 15:15:00,4810.2,4810.77,4803.73,4809.08,1894
2026-04-15 15:20:00,4809.1,4809.66,4802.84,4805.26,1731
2026-04-15 15:25:00,4805.26,4806.33,4797.75,4798.36,1744
2026-04-15 15:30:00,4798.33,4799.92,4787.02,4795.39,2317
2026-04-15 15:35:00,4795.4,4803.61,4795.28,4800.9,1996
2026-04-15 15:40:00,4800.93,4806.41,4800.93,4803.54,1658
2026-04-15 15:45:00,4803.59,4807.55,4802.36,4802.6,1725
2026-04-15 15:50:00,4802.61,4806.58,4802.61,4805.29,1366
2026-04-15 15:55:00,4805.26,4805.69,4799.46,4801.7,1707
2026-04-15 16:00:00,4801.7,4807.59,4800.47,4804.38,1581
2026-04-15 16:05:00,4804.38,4808.11,4803.57,4807.29,1466
2026-04-15 16:10:00,4807.28,4810.54,4806.1,4808.48,1337
2026-04-15 16:15:00,4808.35,4810.54,4805.26,4806.82,1388
2026-04-15 16:20:00,4806.82,4810.52,4806.82,4808.12,1414
2026-04-15 16:25:00,4808.09,4812.67,4807.25,4811.26,1409
2026-04-15 16:30:00,4811.25,4811.88,4807.66,4809.52,1564
2026-04-15 16:35:00,4809.5,4811.93,4806.75,4807.04,1142
2026-04-15 16:40:00,4807.02,4809.53,4802.92,4804.58,1933
2026-04-15 16:45:00,4804.46,4807.19,4803.15,4805.68,1636
2026-04-15 16:50:00,4805.69,4807.3,4800.21,4801.92,1644
2026-04-15 16:55:00,4801.99,4805.8,4801.57,4803.97,1579
2026-04-15 17:00:00,4803.93,4804.99,4800.73,4800.8,1418
2026-04-15 17:05:00,4800.82,4802.96,4799.7,4802.67,1339
2026-04-15 17:10:00,4802.66,4803.16,4798.02,4798.18,1275
2026-04-15 17:15:00,4798.18,4802.5,4798.18,4801.17,1134
2026-04-15 17:20:00,4801.16,4807.27,4801.16,4806.32,1426
2026-04-15 17:25:00,4806.32,4808.74,4800.22,4801.88,1650
2026-04-15 17:30:00,4801.87,4802.76,4797.46,4800.5,1380
2026-04-15 17:35:00,4800.5,4802.36,4797.21,4797.22,1448
2026-04-15 17:40:00,4797.22,4797.78,4792.19,4793.54,1793
2026-04-15 17:45:00,4793.54,4795.75,4793.5,4794.88,1375
2026-04-15 17:50:00,4794.9,4795.37,4790.87,4793.35,1385
2026-04-15 17:55:00,4793.34,4795.69,4791.68,4792.56,1158
2026-04-15 18:00:00,4792.55,4800.82,4790.27,4796.23,2194
2026-04-15 18:05:00,4796.2,4798.16,4792.2,4793.92,1779
2026-04-15 18:10:00,4793.89,4797.44,4792.38,4797.04,1332
2026-04-15 18:15:00,4797.03,4798.75,4794.61,4795.41,1491
2026-04-15 18:20:00,4795.39,4796.65,4794.03,4794.59,1323
2026-04-15 18:25:00,4794.59,4795.25,4792.8,4794.7,1300
2026-04-15 18:30:00,4794.69,4798.38,4794.69,4797.77,1436
2026-04-15 18:35:00,4797.77,4797.81,4795.06,4796.67,1428
2026-04-15 18:40:00,4796.68,4797.06,4794.62,4796.96,1366
2026-04-15 18:45:00,4796.98,4799.14,4796.98,4798.75,1163
